degradation,source,target,support_count,n_bootstraps,stability,stable
clean,ego_accel,gap_distance,20,20,1.0,True
clean,ego_accel,lead_speed,4,20,0.2,False
clean,ego_accel,relative_speed,20,20,1.0,True
clean,ego_speed,gap_distance,20,20,1.0,True
clean,ego_speed,lead_accel,4,20,0.2,False
clean,ego_speed,lead_speed,10,20,0.5,False
clean,ego_speed,relative_speed,20,20,1.0,True
clean,gap_distance,lead_accel,1,20,0.05,False
clean,gap_distance,lead_speed,19,20,0.95,True
clean,gap_distance,relative_speed,2,20,0.1,False
clean,lead_accel,lead_speed,20,20,1.0,True
clean,lead_speed,relative_speed,16,20,0.8,True
dropout_10,ego_accel,gap_distance,20,20,1.0,True
dropout_10,ego_accel,lead_speed,5,20,0.25,False
dropout_10,ego_accel,relative_speed,20,20,1.0,True
dropout_10,ego_speed,gap_distance,20,20,1.0,True
dropout_10,ego_speed,lead_accel,4,20,0.2,False
dropout_10,ego_speed,lead_speed,10,20,0.5,False
dropout_10,ego_speed,relative_speed,20,20,1.0,True
dropout_10,gap_distance,lead_accel,2,20,0.1,False
dropout_10,gap_distance,lead_speed,20,20,1.0,True
dropout_10,lead_accel,lead_speed,19,20,0.95,True
dropout_10,lead_speed,relative_speed,15,20,0.75,True
dropout_25,ego_accel,gap_distance,20,20,1.0,True
dropout_25,ego_accel,lead_speed,5,20,0.25,False
dropout_25,ego_accel,relative_speed,20,20,1.0,True
dropout_25,ego_speed,gap_distance,20,20,1.0,True
dropout_25,ego_speed,lead_accel,4,20,0.2,False
dropout_25,ego_speed,lead_speed,14,20,0.7,True
dropout_25,ego_speed,relative_speed,20,20,1.0,True
dropout_25,gap_distance,lead_accel,2,20,0.1,False
dropout_25,gap_distance,lead_speed,19,20,0.95,True
dropout_25,lead_accel,lead_speed,14,20,0.7,True
dropout_25,lead_speed,relative_speed,14,20,0.7,True
dropout_50,ego_accel,ego_speed,1,20,0.05,False
dropout_50,ego_accel,gap_distance,20,20,1.0,True
dropout_50,ego_accel,lead_accel,1,20,0.05,False
dropout_50,ego_accel,lead_speed,8,20,0.4,False
dropout_50,ego_accel,relative_speed,20,20,1.0,True
dropout_50,ego_speed,gap_distance,20,20,1.0,True
dropout_50,ego_speed,lead_accel,3,20,0.15,False
dropout_50,ego_speed,lead_speed,12,20,0.6,False
dropout_50,ego_speed,relative_speed,20,20,1.0,True
dropout_50,gap_distance,lead_accel,5,20,0.25,False
dropout_50,gap_distance,lead_speed,14,20,0.7,True
dropout_50,lead_accel,lead_speed,5,20,0.25,False
dropout_50,lead_speed,relative_speed,14,20,0.7,True
delay_1,ego_accel,gap_distance,20,20,1.0,True
delay_1,ego_accel,lead_speed,4,20,0.2,False
delay_1,ego_accel,relative_speed,20,20,1.0,True
delay_1,ego_speed,gap_distance,20,20,1.0,True
delay_1,ego_speed,lead_accel,6,20,0.3,False
delay_1,ego_speed,lead_speed,15,20,0.75,True
delay_1,ego_speed,relative_speed,20,20,1.0,True
delay_1,gap_distance,lead_accel,1,20,0.05,False
delay_1,gap_distance,lead_speed,19,20,0.95,True
delay_1,lead_accel,lead_speed,18,20,0.9,True
delay_1,lead_accel,relative_speed,1,20,0.05,False
delay_1,lead_speed,relative_speed,14,20,0.7,True
delay_2,ego_accel,gap_distance,20,20,1.0,True
delay_2,ego_accel,lead_accel,2,20,0.1,False
delay_2,ego_accel,lead_speed,7,20,0.35,False
delay_2,ego_accel,relative_speed,20,20,1.0,True
delay_2,ego_speed,gap_distance,20,20,1.0,True
delay_2,ego_speed,lead_accel,7,20,0.35,False
delay_2,ego_speed,lead_speed,17,20,0.85,True
delay_2,ego_speed,relative_speed,20,20,1.0,True
delay_2,gap_distance,lead_accel,3,20,0.15,False
delay_2,gap_distance,lead_speed,20,20,1.0,True
delay_2,lead_accel,lead_speed,13,20,0.65,False
delay_2,lead_speed,relative_speed,12,20,0.6,False
dropout_20_delay_1,ego_accel,gap_distance,20,20,1.0,True
dropout_20_delay_1,ego_accel,lead_accel,3,20,0.15,False
dropout_20_delay_1,ego_accel,lead_speed,6,20,0.3,False
dropout_20_delay_1,ego_accel,relative_speed,20,20,1.0,True
dropout_20_delay_1,ego_speed,gap_distance,20,20,1.0,True
dropout_20_delay_1,ego_speed,lead_accel,5,20,0.25,False
dropout_20_delay_1,ego_speed,lead_speed,15,20,0.75,True
dropout_20_delay_1,ego_speed,relative_speed,20,20,1.0,True
dropout_20_delay_1,gap_distance,lead_accel,5,20,0.25,False
dropout_20_delay_1,gap_distance,lead_speed,19,20,0.95,True
dropout_20_delay_1,lead_accel,lead_speed,13,20,0.65,False
dropout_20_delay_1,lead_accel,relative_speed,1,20,0.05,False
dropout_20_delay_1,lead_speed,relative_speed,14,20,0.7,True
