source,target
mean_speed,mean_accel
mean_speed,accel_std
mean_speed,lane_changes
mean_speed,mean_lead_vel
mean_speed,rel_speed_to_lead
mean_accel,mean_lead_acc
accel_std,lane_changes
lane_changes,accel_std
min_time_headway,lane_changes
min_time_headway,mean_lead_acc
min_time_headway,space_headway_mean
mean_lead_vel,mean_lead_acc
mean_lead_vel,space_headway_mean
mean_lead_acc,mean_accel
mean_lead_acc,mean_lead_vel
rel_speed_to_lead,space_headway_mean
space_headway_mean,mean_lead_vel
space_headway_mean,rel_speed_to_lead
